crim,dust,reservation,distance,like,review,price
0.00632,0.538,6.575,4.09,396.9,30.02,43200
0.02731,0.469,6.421,4.9671,396.9,25.86,38880
0.02729,0.469,7.185,4.9671,392.83,30.97,62460
0.03237,0.458,6.998,6.0622,394.63,32.06,60120
0.06905,0.458,7.147,6.0622,396.9,29.67,65160
0.02985,0.458,6.43,6.0622,394.12,29.79,51660
0.08829,0.524,6.012,5.5605,395.6,22.57,41220
0.14455,0.524,6.172,5.9505,396.9,15.85,48780
0.21124,0.524,5.631,6.0821,386.63,5.07,29700
0.17004,0.524,6.004,6.5921,386.71,17.9,34020
0.22489,0.524,6.377,6.3467,392.52,14.55,27000
0.11747,0.524,6.009,6.2267,396.9,21.73,34020
0.09378,0.524,5.889,5.4509,390.5,19.29,39060
0.62976,0.538,5.949,4.7075,396.9,26.74,36720
0.63796,0.538,6.096,4.4619,380.02,24.74,32760
0.62739,0.538,5.834,4.4986,395.62,26.53,35820
1.05393,0.538,5.935,4.4986,386.85,28.42,41580
0.7842,0.538,5.99,4.2579,386.75,20.33,31500
0.80271,0.538,5.456,3.7965,288.99,23.31,36360
0.7258,0.538,5.727,3.7965,390.95,23.72,32760
1.25179,0.538,5.57,3.7979,376.57,13.98,24480
0.85204,0.538,5.965,4.0123,392.53,21.17,35280
1.23247,0.538,6.142,3.9769,396.9,16.28,27360
0.98843,0.538,5.813,4.0952,394.54,15.12,26100
0.75026,0.538,5.924,4.3996,394.33,18.7,28080
0.84054,0.538,5.599,4.4546,303.42,18.49,25020
0.67191,0.538,5.813,4.682,376.88,20.19,29880
0.95577,0.538,6.047,4.4534,306.38,17.72,26640
0.77299,0.538,6.495,4.4547,387.94,22.2,33120
1.00245,0.538,6.674,4.239,380.23,23.02,37800
1.13081,0.538,5.713,4.233,360.17,12.4,22860
1.35472,0.538,6.072,4.175,376.73,21.96,26100
1.38799,0.538,5.95,3.99,232.6,7.29,23760
1.15172,0.538,5.701,3.7872,358.77,16.65,23580
1.61282,0.538,6.096,3.7598,248.31,14.66,24300
0.06417,0.499,5.933,3.3603,396.9,25.32,34020
0.09744,0.499,5.841,3.3779,377.56,23.59,36000
0.08014,0.499,5.85,3.9342,396.9,26.23,37800
0.17505,0.499,5.966,3.8473,393.43,24.87,44460
0.02763,0.428,6.595,5.4011,395.63,30.68,55440
0.03359,0.428,7.024,5.4011,395.62,33.02,62820
0.12744,0.448,6.77,5.7209,385.41,30.16,47880
0.1415,0.448,6.169,5.7209,383.37,29.19,45540
0.15936,0.448,6.211,5.7209,394.46,27.56,44460
0.12269,0.448,6.069,5.7209,389.39,25.45,38160
0.17142,0.448,5.682,5.1004,396.9,24.79,34740
0.18836,0.448,5.786,5.1004,396.9,20.85,36000
0.22927,0.448,6.03,5.6894,392.74,16.2,29880
0.25387,0.448,5.399,5.87,396.9,4.19,25920
0.21977,0.448,5.602,6.0877,396.9,18.8,34920
0.08873,0.439,5.963,6.8147,395.56,21.55,35460
0.04337,0.439,6.115,6.8147,393.97,25.57,36900
0.0536,0.439,6.511,6.8147,396.9,29.72,45000
0.04981,0.439,5.998,6.8147,396.9,26.57,42120
0.0136,0.41,5.888,7.3197,396.9,20.2,34020
0.01311,0.403,7.249,8.6966,395.93,30.19,63720
0.02055,0.41,6.383,9.1876,396.9,29.23,44460
0.01432,0.411,6.816,8.3248,392.9,31.05,56880
0.15445,0.453,6.145,7.8148,390.68,28.14,41940
0.10328,0.453,5.927,6.932,396.9,25.78,35280
0.14932,0.453,5.741,7.2254,395.11,21.85,33660
0.17171,0.453,5.966,6.8185,378.08,20.56,28800
0.11027,0.453,6.456,7.2255,396.9,28.27,39960
0.1265,0.453,6.762,7.9809,395.58,25.5,45000
0.01951,0.4161,7.104,9.2229,393.24,26.95,59400
0.03584,0.398,6.29,6.6115,396.9,30.33,42300
0.04379,0.398,5.787,6.6115,396.9,24.76,34920
0.05789,0.409,5.878,6.498,396.21,26.9,39600
0.13554,0.409,5.594,6.498,396.9,21.91,31320
0.12816,0.409,5.885,6.498,396.9,26.21,37620
0.08826,0.413,6.417,5.2873,383.73,28.28,43560
0.15876,0.413,5.961,5.2873,376.94,25.12,39060
0.09164,0.413,6.065,5.2873,390.91,29.48,41040
0.19539,0.413,6.245,5.2873,377.17,27.46,42120
0.07896,0.437,6.273,4.2515,394.92,28.22,43380
0.09512,0.437,6.286,4.5026,383.23,26.06,38520
0.10153,0.437,6.279,4.0522,373.66,23.03,36000
0.08707,0.437,6.14,4.0905,386.96,24.73,37440
0.05646,0.437,6.232,5.0141,386.4,22.66,38160
0.08387,0.437,5.874,4.5026,396.06,25.9,36540
0.04113,0.426,6.727,5.4007,396.9,29.71,50400
0.04462,0.426,6.619,5.4007,395.63,27.78,43020
0.03659,0.426,6.302,5.4007,396.9,28.28,44640
0.03551,0.426,6.167,5.4007,390.64,27.49,41220
0.05059,0.449,6.389,4.7794,396.9,25.38,43020
0.05735,0.449,6.63,4.4377,392.3,28.47,47880
0.05188,0.449,6.015,4.4272,395.99,22.14,40500
0.07151,0.449,6.121,3.7476,395.15,26.56,39960
0.0566,0.489,7.007,3.4217,396.9,29.5,42480
0.05302,0.489,7.079,3.4145,396.06,29.3,51660
0.04684,0.489,6.417,3.0923,392.18,26.19,40680
0.03932,0.489,6.405,3.0921,393.55,26.8,39600
0.04203,0.464,6.442,3.6659,395.01,26.84,41220
0.02875,0.464,6.211,3.6659,396.33,28.79,45000
0.04294,0.464,6.249,3.615,396.9,24.41,37080
0.12204,0.445,6.625,3.4952,357.98,28.35,51120
0.11504,0.445,6.163,3.4952,391.83,23.66,38520
0.12083,0.445,8.069,3.4952,396.9,30.79,69660
0.08187,0.445,7.82,3.4952,393.53,31.43,78840
0.0686,0.445,7.416,3.4952,396.9,28.81,59760
0.14866,0.52,6.727,2.7778,394.76,25.58,49500
0.11432,0.52,6.781,2.8561,395.58,27.33,47700
